AccountNumber,Symbol,Quantity,Price,MarketValue,CostBasis,AcquiredDate
84920011,AAPL,150,$187.42,"$28,113.00","$34,500.00",03/12/2022
84920011,MSFT,80,$412.65,"$33,012.00","$29,800.00",11/05/2023
84920012,AAPL,60,$187.42,"$11,245.20","$9,200.00",01/22/2024
77213340,TSLA,200,$238.10,"$47,620.00","$68,000.00",06/18/2021
77213340,SPY,100,$567.30,"$56,730.00","$52,000.00",09/09/2022
77213341,TSLA,50,$238.10,"$11,905.00","$17,000.00",06/18/2021
91002234,NVDA,300,$121.85,"$36,555.00","$41,200.00",02/14/2024
91002234,QQQ,120,$489.20,"$58,704.00","$50,000.00",07/30/2022
91002235,NVDA,90,$121.85,"$10,966.50","$12,400.00",02/14/2024
65029981,AAPL,400,$187.42,"$74,968.00","$40,000.00",05/01/2020
